oracle Database name       :  FSPRD
Oracle SID                 :  FSPRD3
Archive Execution-From Date:  01-May-2023
Archive Execution-To Date  :  01-Mar-2024
Archive Year               :  1995_2000
Archive Environment        :  FS
 
=> Batch Numbers check.

107 rows created.


Commit complete.

=> NLS DataBase Parameters Check.

3 rows created.


Commit complete.

=> TimeZone Check.

416 62 49 PC_01_XX PROJECT_DESCR_H
417 62 50 PC_01_XX PROJECT_H
418 62 51 PC_01_XX PROJECT_MGR_H
419 62 52 PC_01_XX PROJECT_SCHED_H
420 62 53 PC_01_XX PROJECT_SD_H
421 62 54 PC_01_XX PROJECT_TEAM_H
422 62 55 PC_01_XX PROJECT_XX_H
423 62 56 PC_01_XX PROJ_ACTIVITY_H
424 62 57 PC_01_XX PROJ_ACT_DESC_H
425 62 58 PC_01_XX PROJ_ACT_LOC_H
426 62 59 PC_01_XX PROJ_ACT_STAT_H
427 62 60 PC_01_XX PROJ_ACT_TEAM_H
428 62 61 PC_01_XX PROJ_ACT_XX_H
429 62 62 PC_01_XX PROJ_APPROVAL_H
430 62 63 PC_01_XX PROJ_BIL_INFO_H
431 62 64 PC_01_XX PROJ_DOCUMENT_H
432 62 65 PC_01_XX PROJ_EV_APPRV_H
433 62 66 PC_01_XX PROJ_JUSTIFY_H
434 62 67 PC_01_XX PROJ_LOCATION_H
435 62 68 PC_01_XX PROJ_QUALITY_H
436 62 69 PC_01_XX PROJ_RESOURCE_H
437 62 70 PC_01_XX PROJ_RES_DELT_H
438 62 71 PC_01_XX PROJ_RSCTMPXX_H
439 62 72 PC_01_XX PROJ_SPRD_XX_H
440 62 73 PC_01_XX PROJ_STATUS_H
441 62 74 PC_01_XX PROJ_TEAMSVXX_H
442 62 75 PC_01_XX PROJ_TM_SCHED_H
443 62 76 PC_01_XX PSA_ORGPRJ_DF_H
444 62 77 PC_01_XX TL_RTS_ACT_XX_H
445 62 78 PC_01_XX TL_RTS_PRJ_XX_H
446 62 79 PC_01_XX TL_RTS_TRC_XX_H
447 63 0 PC_02_XX INT_PRJACT_XX_H
448 64 0 PC_03_XX PC_CMACCTLNXX_H
449 65 0 PC_04_XX PCX0015_ERRXX_H
450 66 0 PC_05_XX PC_INTFCSTGXX_H
451 67 0 PC_06_XX PC_UPLD_CI_XX_H
452 68 0 PC_07_XX PCX0013_ERRXX_H
453 69 0 PC_08_XX PC_UB_FDET_XX_H
454 70 0 PC_09_XX PC_UB_PO_XX_H
455 71 0 PC_10_XX PC_GLTOPC_SUM_H
456 72 0 PC_11_XX PC_APTOPC_SUM_H
457 73 0 PC_12_XX PC_EXTOPC_SUM_H
458 74 0 PGMST1XX PGM_CONVST1_XXH
459 75 0 PGMST2XX PGM_CONVST2_XXH
460 76 0 PGM_MHXX PGM_MRHGRID_HXX
461 77 0 PGM_MOXX PGM_MROVRLD_HXX
462 78 0 PGM_PRXX PGM_PRLQLNT_HXX
463 79 0 PGM_WDXX PGM_WRKLDST_HXX
464 80 0 PMTAUDXX AP_PYMT_AUD_ARC
465 81 0 PRCS_XX CDMAUTHIST_H_XX
466 81 1 PRCS_XX CDMFILELIS_H_XX
467 81 2 PRCS_XX CDMLISTHIS_H_XX
468 81 3 PRCS_XX PRCDISTHIS_H_XX
469 81 4 PRCS_XX PRCJOBSTAT_H_XX
470 81 5 PRCS_XX PRCPARMHIS_H_XX
471 81 6 PRCS_XX PRCQUEHIST_H_XX
472 81 7 PRCS_XX PRCRQSTFLE_H_XX
473 81 8 PRCS_XX PRCRQSTHIS_H_XX
474 81 9 PRCS_XX PRCRQSTSTR_H_XX
475 81 10 PRCS_XX PRCTEXTHIS_H_XX
476 81 11 PRCS_XX PRCTXFRHIS_H_XX
477 82 0 PRMGT_XX GM_BUDHDRXX_HXX
478 82 1 PRMGT_XX GM_BUD_HDR_HXX
479 82 2 PRMGT_XX GM_BUD_LNSM_HXX
480 82 3 PRMGT_XX GM_BUD_PERD_HXX
481 82 4 PRMGT_XX GM_OPDTTMXX_HXX
482 82 5 PRMGT_XX GM_OPTYDTTM_HXX
