oracle Database name       :  HRPRD
340 95 3 TLEOA_XX EOAW_SUMDTL_HXX
341 95 4 TLEOA_XX EOAW_SUMM_HXX
342 95 5 TLEOA_XX EOAW_WL_HXX
343 96 0 TLEXCPXX TL_EXCEPTN_HST
344 97 0 TLHDR_XX TL_APP_HDR_H_XX
345 98 0 TLHR_XX TL_HRTESTG_H_XX
346 99 0 TLLIN_XX TL_APP_RPT_H_XX
347 100 0 TLMEL_XX TL_MEALAUD_H_XX
348 101 0 TLOB_XX OB_ATTACH_H_XX
349 102 0 TLPRJ_XX TL_PRJ_TM_H_XX
350 103 0 TLPYTMXX TL_IPT1_CNT_HST
351 103 1 TLPYTMXX TL_PAYABLE_HST
352 103 2 TLPYTMXX TL_PAY_HIST_HST
353 104 0 TLREP_XX TL_REP_LR_H_XX
354 105 0 TLROP_XX TL_RTROPER_H_XX
355 105 1 TLROP_XX TL_RT_ROP_H_XX
356 106 0 TLRPT_XX TL_RPT_TIME_HST
357 107 0 TLRTS_XX TL_RTSALOC_H_XX
358 107 1 TLRTS_XX TL_RTS_ACT_H_XX
359 107 2 TLRTS_XX TL_RTS_PRJ_H_XX
360 107 3 TLRTS_XX TL_RTS_TRC_H_XX
361 108 0 TLTRC_XX TLTRCOMNTS_H_XX
362 108 1 TLTRC_XX TLTRCOMNT_H_XX
363 109 0 TL_COMP TL_COMPLEAV_HST
364 110 0 TL_FRCPA TL_FRCSPYBL_HST
365 111 0 TL_XCOST TL_XREFCOST_HST
366 112 0 TL_XREF TL_XREF_TBL_HST
Completed Gathering Data. Total Templates to Export for Wave/Year - 1995_2000 in "HR": 113
Today's Export Version Counter No: 1
#########################################################################################
Beginning export of Template : ABSAPRXX
#########################################################################################
 
=> ( 1 ) EOAWSTPINST_HXX : Get History Record Counts

1 row created.


Commit complete.

..Get TableSpace, Index & Index TableSpace

1 row created.


Commit complete.

=> ( 2 ) EOAW_COMNTS_HXX : Get History Record Counts

1 row created.


Commit complete.

..Get TableSpace, Index & Index TableSpace

2 rows created.


Commit complete.

=> ( 3 ) EOAW_HISCOM_HXX : Get History Record Counts

1 row created.


Commit complete.

..Get TableSpace, Index & Index TableSpace

2 rows created.


Commit complete.

=> ( 4 ) EOAW_SUMDTL_HXX : Get History Record Counts

1 row created.


Commit complete.

..Get TableSpace, Index & Index TableSpace

1 row created.


Commit complete.

=> ( 5 ) EOAW_SUMM_HXX : Get History Record Counts

1 row created.


Commit complete.

..Get TableSpace, Index & Index TableSpace

2 rows created.


Commit complete.

=> ( 6 ) EOAW_WL_HXX : Get History Record Counts

1 row created.


Commit complete.

..Get TableSpace, Index & Index TableSpace

1 row created.


Commit complete.

=> ( 7 ) GP_ABSSXREF_HXX : Get History Record Counts

1 row created.


Commit complete.

..Get TableSpace, Index & Index TableSpace

2 rows created.


Commit complete.


Export: Release 19.0.0.0.0 - Production on Thu Dec 11 23:07:31 2025
Version 19.27.0.0.0

Copyright (c) 1982, 2019, Oracle and/or its affiliates.  All rights reserved.

Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
FLASHBACK automatically enabled to preserve database integrity.
